Este Norte Cota Ni Fe Mg SiO2 Cr razon SiMg TipoRoca
1623.6 1827.7 92.8 0.71 8.1 29.12 42.23 1 0.43 1.45 50
1623.6 1827.7 96.3 1.13 9.3 27.72 43.6 1.4 0.54 1.57 50
1623.6 1837.6 89.8 1.2 9.7 22.82 47.72 1.3 0.46 2.09 40
1623.6 1837.6 86.3 1.18 9.2 21.98 49.27 1.2 0.46 2.24 40
1624.2 1645.7 131.2 0.72 45.1 0.2 12.8 7.5 1.72 64 24
1624.2 1829.2 129.7 0.62 43 0.43 4.54 15.2 2.84 10.56 10
1624.2 1695.6 115.6 1.47 54 0.66 7.22 4.8 2.86 10.94 44
1624.2 1829 123 0.79 52.5 0.56 3.49 9 2.38 6.23 10
1624.2 1737 97 0.25 5.7 37.16 39.35 0.6 0.24 1.06 60
1624.2 1737 93.5 0.3 5.7 37.92 39.03 0.7 0.24 1.03 60
1624.2 1755.5 115.5 1.49 49.6 0.52 5.89 7.8 3.46 11.33 44
1624.3 1772.7 89.7 2.49 15 17.77 43.14 2.1 0.66 2.43 42
1625.4 1786.5 128.7 0.48 43.5 0.36 3.81 17.5 2.35 10.58 10
1625.5 1659.2 96.4 1.1 8.3 20.17 51.81 0.9 0.63 2.57 40
1625.5 1659.2 92.9 3.39 9.2 19.14 50.46 1.3 0.43 2.64 40
1625.5 1704.4 121.8 1.56 52.9 0.93 5.63 7.2 2.4 6.05 44
1625.6 1832.4 89.8 0.61 8.3 28.03 43.53 1.1 0.4 1.55 50
1625.6 1832.4 86.3 0.47 7.8 27.81 45.85 1.4 0.39 1.65 50
1625.6 1695.1 135.9 0.45 39.1 0.1 9 18.6 1.53 90 13
1625.6 1693.1 89.6 0.65 6.3 34.98 41.12 0.8 0.28 1.18 60
1625.6 1693.1 86.1 0.24 5.5 35.66 37.59 0.9 0.25 1.05 60
1625.7 1807.6 122.8 0.8 49.4 0.91 4.24 10 2.59 4.66 10
1625.7 1675.1 103.6 1.37 10.3 20.11 47.46 1.2 0.41 2.36 40
1625.7 1675.1 100.1 1.12 10.1 19.61 52.38 0.9 0.44 2.67 40
1625.7 1703.7 103.6 1.38 9.1 22.28 44.9 1.5 0.72 2.02 40
1625.7 1703.7 100.1 1.33 9.1 22.13 44.48 1.3 0.64 2.01 40
1625.7 1665.3 89.7 2.51 22.4 6.74 42.08 2.2 1.32 6.24 70
1625.7 1665.3 86.2 1.79 10.5 15.9 53.58 1.4 0.57 3.37 42
1625.7 1697.1 115.7 1.41 45.9 0.99 13.12 6.1 2.86 13.25 44
1625.7 1670.9 115.8 1.9 43.7 1.01 11.45 6.7 4.22 11.34 44
1625.8 1761.8 97.1 0.45 6.8 22.9 51.47 0.6 0.27 2.25 40
1625.8 1761.8 93.6 0.27 6 28.03 43.2 0.7 0.3 1.54 50
1625.8 1648.5 125.9 0.9 52 0.6 4.7 9.6 2.36 7.83 10
1625.8 1803.5 115.4 0.87 35.8 1.07 14.79 16.3 2.3 13.82 13
1625.8 1770.8 122.8 0.73 48.5 0.6 2.83 12.4 2.52 4.72 10
1625.9 1822.2 122.9 0.88 50.5 0.56 3.85 9.5 2.67 6.88 10
1625.9 1667.5 131 0.91 57.1 0.1 3 8.8 1.65 30 10
1625.9 1660.4 125.9 0.87 50.2 0.8 6.2 8.3 2.07 7.75 10
1626 1802.2 89.4 1.07 8.9 15.76 58.21 0.6 0.53 3.69 40
1626 1802.2 85.9 0.43 6.6 24.44 49.57 0.5 0.34 2.03 50
1626 1825.7 115.6 0.97 50.2 0.55 6.49 9.1 3.79 11.8 10
1626 1766.5 97.2 0.4 7.4 20.23 50.38 0.4 0.32 2.49 40
1626 1766.5 93.7 0.52 7.8 19.41 55.66 0.5 0.34 2.87 40
1626 1664.6 126.2 0.8 48.8 0.8 3.4 9.2 2.13 4.25 10
1626 1660.2 115.6 1.65 45.4 2.12 11.59 7.5 3.09 5.47 44
1630.6 1680.7 115.3 1.6 50.7 0.91 9.59 6.5 2.6 10.54 44
1630.7 1728.6 122 0.91 47.2 1.28 3.82 13.6 3.1 2.98 10
1630.7 1760.4 97.1 0.37 6 25.71 42.23 0.3 0.25 1.64 50
1630.7 1760.4 93.6 0.49 6.4 18.35 43.81 0.7 0.3 2.39 40
1630.7 1779 128.6 0.53 40.3 0.37 7.2 18.4 2.42 19.46 10
1630.7 1825.6 89.8 1.31 10.2 16.51 54.69 0.9 0.48 3.31 40
1630.7 1825.6 86.3 2.49 10.2 23.13 44.19 1.6 0.46 1.91 40
1630.7 1839.3 115.5 0.84 44.9 1.87 10.91 7.4 2.89 5.83 10
1630.7 1761.3 97 0.48 5.9 23.66 47.33 0.3 0.35 2 50
1630.7 1761.3 93.5 0.56 6.5 20.53 53.8 0.3 0.31 2.62 40
1630.8 1670.7 115.5 1.45 44.5 2.37 12.81 7.7 2.89 5.41 44
1630.8 1816.1 115.4 1.08 51.6 0.34 4.98 8.9 3.36 14.65 10
1630.8 1781 122.8 0.79 45.2 0.96 3.94 15.6 2.99 4.1 10
1630.8 1701.3 103.6 2.34 10.2 16.72 53.32 1.5 0.74 3.19 40
1630.8 1701.3 100.1 0.66 6.8 20.34 49.02 1.1 0.49 2.41 40
1630.8 1790.6 122.8 0.75 43.7 0.65 3.46 16 2.85 5.32 10
1630.8 1755.7 115.5 1.27 50.7 0.49 6.01 8.7 3.17 12.27 44
1630.8 1661.1 125.8 0.84 49.5 0.6 9.8 8.4 2.07 16.33 10
1630.8 1717.9 103.7 2.23 26 6.34 34.5 4 2 5.44 42
1630.8 1717.9 100.2 1.35 12.8 15.34 49.53 0.9 0.98 3.23 42
1630.8 1785.7 86.2 0.51 7.6 29.37 46.46 0.6 0.32 1.58 50
1630.8 1785.7 89.7 1.28 9.6 16.91 52.93 0.5 0.54 3.13 40
1630.8 1641.2 126.1 1.49 36.1 1 23 6.7 1.76 23 20
1630.9 1766.7 93.5 0.62 7.2 24.59 50.03 0.3 0.33 2.03 50
1630.9 1766.7 97 0.52 7.5 22.8 52.86 0.9 0.45 2.32 40
1630.9 1647.1 96.3 3.46 9.4 12.79 56.31 0.8 0.52 4.4 42
1630.9 1647.1 92.8 3.39 9.3 13.9 54.99 0.7 0.52 3.96 42
1630.9 1725.2 115.3 1.06 49.9 0.83 4.87 9.3 2.21 5.87 44
1630.9 1793.5 115.4 1.37 51.9 0.51 5.79 8.3 2.96 11.35 44
1630.9 1727.3 115.3 1.56 45.4 0.76 4.1 12.2 3.15 5.39 44
1631 1753.5 96.9 0.32 5.6 31.03 46.82 0.8 0.29 1.51 50
1631 1753.5 93.4 0.32 6 31.22 43.55 0.2 0.24 1.39 50
1631 1668 100 1.56 29.1 3.38 33.22 4.2 1.31 9.83 43
1631 1668 103.5 1.71 31.4 4.48 25.78 5.7 1.52 5.75 42
1631 1771.6 93.6 2.44 12.8 17.01 47.62 1.4 0.63 2.8 42
1631 1771.6 97.1 2.15 12.8 18.56 45.83 1.3 0.64 2.47 42
1631 1651.1 115.4 3.9 18.4 15.76 40.11 3.3 1.23 2.55 42
1631 1758.4 127.4 0.66 44.8 0.38 5.06 14.7 2.76 13.32 10
1631 1733.9 103.4 1.03 9.9 16.53 55.11 1.3 0.6 3.33 40
1631 1733.9 99.9 1.05 9.8 16.72 54.56 0.9 0.8 3.26 40
1631 1679.9 89.6 3.21 12.6 15.78 46.45 1.6 0.78 2.94 42
1631 1679.9 86.1 2.21 9.4 18.05 48.93 1 0.49 2.71 40
1631.1 1815.5 89.4 3.39 20.2 8.99 37.67 3.6 1.08 4.19 42
1633.8 1836.6 82.5 1.6 12.9 22.59 42.16 2.5 0.63 1.87 40
1633.8 1836.6 79 1.64 13.8 21.1 40.21 2.6 0.74 1.91 42
1633.8 1675.4 130.4 0.57 40.3 0.2 7.1 19.5 1.74 35.5 10
1633.8 1651.2 126.2 0.56 38.1 0.9 10.7 9 2.03 11.89 24
1633.8 1724.7 122 0.84 46.6 1.26 4.27 14.4 2.69 3.39 10
1633.9 1731.1 96.7 1.84 11.1 16.91 51.62 0.7 0.61 3.05 42
1633.9 1731.1 93.2 2.13 11.2 18.12 48.53 0.7 0.71 2.68 40
1633.9 1820.9 82.6 2.73 13 17.97 45.9 1.7 0.64 2.55 42
1633.9 1820.9 79.1 2.69 13.6 17.71 45.56 1.7 0.73 2.57 42
1633.9 1694.6 103.4 3.1 16.5 9.03 47.42 2.1 1.25 5.25 42
1633.9 1694.6 99.9 2.77 10.6 15.31 54.56 0.8 0.73 3.56 42
1633.9 1788 115.3 1.55 51.3 0.29 5.67 8.4 3.21 19.55 44
1633.9 1771.5 97 1.53 11.6 19.61 45.48 1.5 0.59 2.32 40
1633.9 1771.5 93.5 1.55 11.4 18.72 48.22 1.3 0.58 2.58 40
1634 1835 123.1 0.86 45 0.76 5.34 13.6 3.24 7.03 10
1634 1829.7 115.6 0.98 50.7 0.63 6.57 10.3 3.7 10.43 10
1634 1711.4 103.7 2.01 30.7 1.83 27.18 3.3 2.68 14.85 43
1634 1711.4 100.2 2.42 20.4 12.76 36.74 3.9 2.21 2.88 42
1634 1644.9 125.9 0.75 40.8 1.3 12.8 9.9 2.04 9.85 24
1634 1741.8 126.1 0.77 42.1 0.98 7.83 14.3 2.77 7.99 10
1634 1730.3 125.9 0.71 41.8 0.7 8.3 13.3 1.73 11.86 10
1634 1683.9 120.6 1.04 49 0.4 4.5 9.3 2.29 11.25 10
1634 1727.4 103.4 2.7 17.1 13.95 46.04 2.4 1.24 3.3 42
1634 1727.4 99.9 2.46 16.9 11.7 46.83 1.8 1.21 4 42
1634.1 1664.7 115.4 1.38 21.6 3.64 46.52 3.3 1.36 12.78 42
1634.1 1647.8 103.6 3.73 12.7 9 53.81 1.3 0.71 5.98 42
1634.1 1647.8 100.1 3.75 14.2 7.54 52.52 1.7 0.73 6.97 42
1634.1 1835.8 96.5 1.01 9.1 22.22 43.92 0.9 0.41 1.98 40
1634.1 1835.8 93 1.74 10.9 22.11 42.77 1.6 0.48 1.93 40
1634.1 1790.6 89.7 0.8 11.9 14.5 53.77 0.6 0.5 3.71 42
1634.1 1790.6 86.2 1.02 11 16.96 51.12 0.6 0.5 3.01 42
1634.1 1777.2 122.7 0.8 44.9 0.94 4.78 16.4 3.08 5.09 10
1634.2 1641.5 130.8 0.72 47.1 0.2 6.9 9.4 1.61 34.5 10
1634.2 1671.9 125.8 0.51 33.8 0.2 15.3 20.4 1.36 76.5 13
1634.2 1829.7 115.5 0.86 48 1.34 5.79 8.1 2.83 4.32 10
1634.2 1765.6 122.6 0.73 44.7 0.85 3.43 15.3 3.61 4.04 10
1634.2 1823.2 129.5 0.69 38.6 0.5 8.84 16.7 3.82 17.68 10
1634.2 1805.7 122.7 0.75 46.1 0.68 3.69 14.7 2.83 5.43 10
1634.2 1744.6 96.9 0.55 6.7 29.29 45.85 0.4 0.35 1.57 50
1634.2 1744.6 93.4 0.33 6.2 34.07 42.66 0.4 0.27 1.25 60
1637.5 1676.4 103.3 2.27 24.1 5 37.41 4.7 1.17 7.48 42
1637.5 1676.4 99.8 3.26 18.8 10.21 41.05 3.8 0.91 4.02 42
1637.6 1816.5 89.4 3.45 14.6 14.05 43.43 2.4 0.69 3.09 42
1637.6 1816.5 85.9 3.18 16.1 14.66 40.28 2.9 0.72 2.75 42
1637.6 1785 115.3 1.1 48.9 0.41 5.97 10.4 2.69 14.56 10
1637.6 1695 130.2 0.68 43.3 0.2 7.3 16.1 1.74 36.5 10
1637.6 1768 96.9 0.36 6.8 21.49 37.47 0.7 0.31 1.74 40
1637.6 1768 93.4 0.25 5.8 26.81 38.54 0.5 0.24 1.44 50
1637.6 1755.6 115.4 1.04 52 0.46 4.59 9.6 3.03 9.98 10
1637.7 1690.2 129.7 0.71 43.5 0.2 5.9 16.7 1.92 29.5 10
1637.7 1699.6 129.3 0.75 45 0.6 4.2 11.9 2.29 7 10
1637.7 1654.1 134.8 0.73 48.8 0.2 4.8 11.7 1.96 24 10
1637.7 1780.4 122.6 0.77 45.2 0.94 4.7 16.5 2.93 5 10
1637.7 1822 122.7 0.81 42.1 0.6 7.11 15.4 3.14 11.85 10
1637.7 1793.8 115.2 1.31 49.7 0.59 6.9 10.2 2.86 11.69 44
1637.7 1725.2 115.2 0.92 48.1 0.58 2.84 13.2 2.46 4.9 10
1637.7 1697.5 125.8 0.87 45.8 0.6 5 12.8 2.03 8.33 10
1637.8 1790.9 101.6 2.48 15.4 17.38 41.35 1.5 0.91 2.38 42
1637.8 1833.1 122.9 0.7 41.9 0.91 7.91 16.8 2.72 8.69 10
1637.8 1805.2 96.5 2.56 28.3 5.34 28.27 3.7 1.98 5.29 42
1637.8 1805.2 93 2.82 21.8 9.48 35.14 2.2 1.15 3.71 42
1637.9 1675.2 108.1 2.94 13.7 10.03 51.83 1.5 0.95 5.17 42
1637.9 1753.9 89.5 0.35 6 36.12 42.34 0.5 0.28 1.17 60
1637.9 1696.4 115.3 1.73 47.8 0.59 10.27 7 3.07 17.41 44
1637.9 1792.1 122.6 0.65 44.9 1.07 3.81 15.4 2.59 3.56 10
1637.9 1828.9 115.5 0.88 50.4 0.79 4.78 7.9 2.55 6.05 10
1638 1752 122.4 0.68 44.6 0.76 5.22 14.6 3.09 6.87 10
1638 1743 89.6 0.23 5.7 39.12 38.42 0.2 0.24 0.98 60
1638 1743 86.1 0.24 5.9 38.94 40.94 0.9 0.27 1.05 60
1638 1787.5 122.6 0.73 43.7 0.91 5.05 16.8 2.81 5.55 10
1638 1832.2 115.5 0.99 50.5 0.61 5.49 10.5 3.36 9 10
1638 1764.8 89.5 0.25 5.7 36.34 41.06 0.4 0.28 1.13 60
1638 1764.8 86 0.27 5.8 36.94 41.45 0.4 0.26 1.12 60
1638 1732.7 89.6 0.77 8.3 28.97 39.61 0.8 0.44 1.37 50
1638 1732.7 86.1 0.28 6.3 35.37 39.61 0.8 0.29 1.12 60
1638.1 1812.2 115.2 0.88 47 2.3 6.07 8.8 2.4 2.64 10
1638.1 1649.1 135.2 0.74 51.9 0.4 3.7 11 1.76 9.25 10
1638.1 1693.3 103.4 1.36 32.8 1.61 25.63 5.9 2.35 15.92 43
1638.1 1693.3 99.9 1.7 28.7 2.08 37.79 3.6 2.08 18.17 43
1638.1 1659.3 134.5 0.78 52 0.2 5.4 8.4 1.52 27 10
1638.1 1643.1 130.7 0.67 53.9 0.3 4.5 9.4 1.93 15 10
1638.1 1703.9 125.9 0.85 43.2 0.4 6.3 14.3 1.82 15.75 10
1638.1 1713 115.3 1.47 50.8 0.83 5.14 8.1 2.26 6.19 44
1638.2 1761.1 97 1.38 12 23.37 40.97 1.1 0.64 1.75 40
1638.2 1761.1 93.5 1.18 11.5 22.36 40.4 0.8 0.56 1.81 40
1638.2 1802.7 115.2 1.11 56.5 0.36 4.67 8.3 2.39 12.97 10
1638.2 1709.9 103.6 1.61 39 1.03 19.56 6.8 2.76 18.99 44
1638.2 1709.9 100.1 1.45 38 1.1 17.8 5.1 2.11 16.18 44
1638.2 1832.2 122.9 0.57 37.9 0.59 8.98 18.7 2.69 15.22 13
1638.2 1726.7 125 0.7 42.3 0.56 7.84 16 2.41 14 10
1638.2 1671.7 89.5 0.36 7.1 14.95 33.87 0.5 0.28 2.27 40
1638.2 1671.7 86 1.92 6.9 20.52 42.46 0.5 0.54 2.07 40
1638.2 1804 82.6 1.92 23.7 7.47 36.41 2.8 1.32 4.87 42
1638.2 1804 79.1 1.76 26.5 3.61 37.01 3.3 1.43 10.25 43
1638.2 1658.4 115.4 2.02 20.1 2.24 48.77 2.3 1.26 21.77 30
1638.2 1736.6 97.2 0.9 9.7 17.92 49.62 0.6 0.64 2.77 40
1638.2 1736.6 93.7 0.24 6.5 22.28 36.41 0.3 0.27 1.63 40
1638.2 1784.8 89.6 0.86 7.9 21.39 49.42 0.6 0.39 2.31 40
1638.2 1784.8 86.1 0.35 6.8 31.8 43.54 0.3 0.28 1.37 50
1638.3 1724 128.2 0.5 34.2 0.4 17.8 21 1.33 44.5 13
1638.3 1796.1 129.1 0.46 38.4 0.5 10.09 17 2.38 20.18 10
1638.3 1742.1 122.3 0.86 47.6 1.21 4.56 14.3 3.35 3.77 10
1638.3 1643.5 89.8 1.52 8.7 23.5 48.56 0.6 0.44 2.07 40
1638.3 1643.5 86.3 0.97 7.4 25.36 47.23 0.6 0.43 1.86 50
1638.3 1728.8 115.2 1.25 47.4 0.94 4.1 13.2 3.2 4.36 44
1638.3 1667 115.3 5.09 21.7 3.7 42.38 2.3 1.33 11.45 42
1638.3 1822.4 101.5 2.4 25.7 3.82 35.46 2.8 1.93 9.28 42
1638.4 1766.8 115.3 1.09 48.2 0.61 5.93 11.7 3.38 9.72 10
1638.4 1763.2 122.5 0.75 45.8 0.97 3.06 14.1 3.69 3.15 10
1638.4 1677 125.7 0.87 51.6 0.7 4.6 9.2 1.89 6.57 10
1638.4 1669.2 130.4 0.77 52 0.3 6.1 10.3 1.88 20.33 10
1638.4 1774.1 115.3 1.03 45.7 0.55 5.42 12.1 3.16 9.85 10
1638.4 1680.7 130.2 0.67 41.6 0.2 5.7 12.8 1.73 28.5 24
1638.5 1725.8 103.4 2.27 29.4 5.48 26.24 4.8 2.31 4.79 42
1638.5 1725.8 99.9 2.96 22.7 6.81 36.76 3.4 1.43 5.4 42
1638.5 1692.2 125.8 0.9 44.2 0.9 6.4 13.6 2.07 7.11 10
1638.5 1711.3 121.6 0.86 44.2 1.01 4.85 14.8 2.58 4.8 10
1638.5 1640.6 146.7 0.65 45.2 1.1 6 14.3 1.74 5.45 10
1638.5 1685.7 129.8 0.72 44.8 0.3 5.1 15.6 1.84 17 10
1638.6 1744.5 115.2 1.11 49.5 0.63 4.53 10.3 3.08 7.19 10
1638.6 1714.1 115.1 1.75 49.4 0.77 4.5 11.6 3.01 5.84 44
1638.6 1664 134.2 0.7 50.9 0.1 5.6 10.4 1.73 56 10
1638.6 1642.1 115.3 0.92 15.7 1.83 56.41 1.6 1.14 30.83 43
1638.6 1804.7 89.4 2.32 26.2 5.86 31.46 3.4 1.32 5.37 42
1638.6 1804.7 85.9 2.61 25.5 6 34.69 3.3 1.3 5.78 42
1638.7 1730.9 128.2 0.51 35 0.4 16.7 20.1 1.35 41.75 13
1638.7 1723.2 121.9 0.83 44.4 0.99 5.28 14.9 2.69 5.33 10
1638.7 1819.2 82.6 2.5 10 20.88 44.16 2 0.52 2.11 40
1638.7 1819.2 79.1 2.41 8.7 22.83 47.11 1.4 0.43 2.06 40
1638.7 1821.3 115.3 0.92 47.2 2.82 7.51 9.2 2.52 2.66 10
1638.7 1794.2 122.7 0.74 44.5 0.87 2.96 17.6 2.94 3.4 10
1638.7 1685.3 115.4 1.47 48.9 1.18 9.13 7.6 3.38 7.74 44
1638.8 1820.7 115.4 1.06 51.1 0.4 4.73 9.2 3.07 11.83 10
1638.8 1699.1 120.7 1.42 48.1 0.5 5.3 9.3 1.82 10.6 44
1638.8 1754.2 96.9 0.21 5.7 36.62 39.93 0.7 0.23 1.09 60
1638.8 1754.2 93.4 0.22 5.7 36.84 40.49 0.8 0.26 1.1 60
1638.8 1833.8 89.8 2.88 19.4 10.05 39.67 2 1.54 3.95 42
1638.8 1833.8 86.3 2.88 20.5 8.62 39.26 2 1.67 4.55 42
1638.8 1739.1 126 0.73 43.7 0.45 5.82 15.6 2.51 12.93 10
1638.8 1792.4 96.6 2.58 9.3 17.27 50.94 1.7 0.45 2.95 40
1638.8 1792.4 93.1 1.97 9.1 15.88 52.88 1 0.45 3.33 40
1638.9 1833.9 96.4 2.49 10.6 17.01 49.18 0.7 0.55 2.89 40
1638.9 1833.9 92.9 2.51 10.2 18.13 48.83 0.8 0.5 2.69 40
