,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.88800e-02,1.28e+00,-1.49e+00,7.18e-01,4.10e+01, 
-1.87800e-02,1.40e+00,-1.37e+00,6.24e-01,4.32e+01, 
-1.86800e-02,1.44e+00,-1.37e+00,6.55e-01,4.32e+01, 
-1.85800e-02,1.56e+00,-1.25e+00,5.93e-01,4.54e+01, 
-1.84800e-02,1.60e+00,-1.25e+00,6.24e-01,4.54e+01, 
-1.83800e-02,1.72e+00,-1.14e+00,5.46e-01,4.75e+01, 
-1.82800e-02,1.80e+00,-1.10e+00,5.62e-01,4.75e+01, 
-1.81800e-02,1.88e+00,-1.02e+00,4.68e-01,4.82e+01, 
-1.80800e-02,1.92e+00,-9.80e-01,5.15e-01,4.82e+01, 
-1.79800e-02,2.00e+00,-8.62e-01,3.90e-01,5.04e+01, 
-1.78800e-02,2.04e+00,-8.62e-01,3.90e-01,5.04e+01, 
-1.77800e-02,2.16e+00,-7.06e-01,3.28e-01,5.11e+01, 
-1.76800e-02,2.16e+00,-7.06e-01,3.59e-01,5.11e+01, 
-1.75800e-02,2.28e+00,-5.88e-01,2.81e-01,5.26e+01, 
-1.74800e-02,2.32e+00,-5.88e-01,3.12e-01,5.18e+01, 
-1.73800e-02,2.44e+00,-4.31e-01,2.18e-01,5.33e+01, 
-1.72800e-02,2.40e+00,-4.31e-01,2.34e-01,5.33e+01, 
-1.71800e-02,2.56e+00,-3.14e-01,1.25e-01,5.40e+01, 
-1.70800e-02,2.56e+00,-2.74e-01,1.40e-01,5.33e+01, 
-1.69800e-02,2.64e+00,-1.57e-01,6.24e-02,5.40e+01, 
-1.68800e-02,2.64e+00,-1.18e-01,1.09e-01,5.40e+01, 
-1.67800e-02,2.72e+00,0.00e+00,3.12e-02,5.33e+01, 
-1.66800e-02,2.72e+00,3.92e-02,3.12e-02,5.40e+01, 
-1.65800e-02,2.80e+00,1.57e-01,-4.68e-02,5.40e+01, 
-1.64800e-02,2.84e+00,1.18e-01,-3.12e-02,5.40e+01, 
-1.63800e-02,2.88e+00,2.74e-01,-1.25e-01,5.33e+01, 
-1.62800e-02,2.88e+00,3.14e-01,-1.09e-01,5.33e+01, 
-1.61800e-02,2.96e+00,4.31e-01,-1.72e-01,5.40e+01, 
