fecha_exacta,dia,mes,media_de_espectadores,mensajes_del_chat,seguimientos,espectadores_maximos,minutos_de_emision,ingresos_por_suscripciones,ingresos_de_prime,ingresos_por_suscripciones_de_regalo,ingresos_por_bits,suscripciones_a_prime,total_de_suscripciones_de_pago,total_de_suscripciones_de_regalo
Mon Mar 01 2021,Mon,Mar,2.38,148,2,5,133,0,0,0,0,0,0,0
Tue Mar 02 2021,Tue,Mar,3,86,6,6,64,0,0,0,0,0,0,0
Wed Mar 03 2021,Wed,Mar,1.38,50,2,3,68,0,0,0,0,0,0,0
Thu Mar 04 2021,Thu,Mar,5.52,132,9,10,96,0,0,0,0,0,0,0
Fri Mar 05 2021,Fri,Mar,3.05,549,3,6,184,0,0,0,0,0,0,0
Sat Mar 06 2021,Sat,Mar,5.35,482,31,16,327,0,0,0,0,0,0,0
Sun Mar 07 2021,Sun,Mar,4.76,148,17,9,87,0,0,0,0,0,0,0
Mon Mar 08 2021,Mon,Mar,25.39,388,44,78,191,0,0,0,0,0,0,0
Tue Mar 09 2021,Tue,Mar,47.73,278,63,69,78,0,1.7465,0,0,1,0,0
Wed Mar 10 2021,Wed,Mar,25.01,296,79,33,75,0,0,0,1,0,0,0
Thu Mar 11 2021,Thu,Mar,14.84,378,35,37,140,0,0,0,0,0,0,0
Fri Mar 12 2021,Fri,Mar,12.04,741,18,23,136,0,0,0,0,0,0,0
Sat Mar 13 2021,Sat,Mar,18.44,668,19,27,115,0,1.7465,0,0,1,0,0
Sun Mar 14 2021,Sun,Mar,16,317,35,24,123,0,0,0,0,0,0,0
Mon Mar 15 2021,Mon,Mar,69.66,586,51,87,90,0,0,0,0,0,0,0
Tue Mar 16 2021,Tue,Mar,70.36,691,40,90,83,0,1.7465,0,0.02,1,0,0
Wed Mar 17 2021,Wed,Mar,22.53,277,14,42,113,1.38,1.7465,0,0,1,1,0
Thu Mar 18 2021,Thu,Mar,53.2,872,138,361,121,0,0,0,0,0,0,0
Fri Mar 19 2021,Fri,Mar,40.79,365,43,63,100,0,1.7465,0,1,1,0,0
Sat Mar 20 2021,Sat,Mar,33.81,592,25,49,116,0,0,0,0,0,0,0
Sun Mar 21 2021,Sun,Mar,16.9,771,131,32,221,1.47,0,0,0,0,1,0
Mon Mar 22 2021,Mon,Mar,48.28,1528,117,108,210,5.908,0,15.9355,1.36,0,5,10
Tue Mar 23 2021,Tue,Mar,74.61,912,63,108,99,0,0,0,0,0,0,0
Wed Mar 24 2021,Wed,Mar,27.51,282,20,43,51,0,0,0,0,0,0,0
Thu Mar 25 2021,Thu,Mar,0,45,13,0,0,0,0,0,0,0,0,0
Fri Mar 26 2021,Fri,Mar,55.66,650,39,80,106,0,0,0,0,0,0,0
Sat Mar 27 2021,Sat,Mar,71.77,487,33,94,73,0,0,0,0,0,0,0
Sun Mar 28 2021,Sun,Mar,52.28,744,46,71,108,0,0,0,0,0,0,0
Mon Mar 29 2021,Mon,Mar,88.88,605,37,111,74,1.2355,0,0,0,0,1,0
Tue Mar 30 2021,Tue,Mar,89.72,730,56,112,87,0,0,0,0,0,0,0
Wed Mar 31 2021,Wed,Mar,0,20,22,0,0,0,0,0,0,0,0,0
